no_pkk,no_pkk_inaportnet,vessel_name_spb,company_name,name_process_code,gt,loa,name_branch,departure_date,nomor_pkk,nomor_spb,vessel_name_wasop,waktu_tolak,NAMA KAPAL,GT,LOA,DARI,KE,PERUSAHAAN,NO SPK PANDU,NO PKK INAPORTNET,NO PKK,NAMA PANDU,MULAI PANDU,SELESAI PANDU,KAPAL TUNDA 1,KAPAL TUNDA 2,KAPAL TUNDA 3,MULAI TUNDA,SELESAI TUNDA,ZONA,STATUS NOTA
XL6D57000004,PKK.DN.IDSTU.2511.000409,BAIDURI 30305,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,3136.0,87.84,KOTABARU,2025-11-15 15:00,nan,,,,,,,,,,,nan,,,,,,,,,,,
R38357000010,PKK.DN.IDSTU.2510.000315,RMN 383,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,3142.0,87.86,KOTABARU,2025-10-13 15:00,nan,,,,,,,,,,,nan,,,,,,,,,,,
DO0031000302,PKK.DN.IDLBR.2511.000153,DLN OASIS,"DAMAI LAUTAN NUSANTARA, PT",Realization,9170.0,109.48,LEMBAR,2025-11-23 07:00,PKK.DN.IDLBR.2511.000153,SPB.IDLBR.1125.0000153,DLN OASIS,2025-11-23T07:00:00.000Z,DLN OASIS,9170,109.48,LAUT,NUSANTARA II,"DAMAI LAUTAN NUSANTARA, PT",IDLBR-PLD-SPK.2511.003205,PKK.DN.IDLBR.2511.000153,DO0031000302,ILHAM FERYADI,23-11-2025 08:47,23-11-2025 09:28,ANGGADA XV,,,23-11-2025 08:52,23-11-2025 08:52,ZONA LEMBAR,BELUM VERIFIKASI
0OYC57000001,PKK.DN.IDSTU.2401.000012,BALENO 1,PT. BATULICIN NUSANTARA MARITIM Tbk,Request PPKB,3512.0,91.5,KOTABARU,2024-12-31 15:00,nan,,,,,,,,,,,nan,,,,,,,,,,,
IN7M57000005,PKK.DN.IDSTU.2506.000309,SLM VENUS 2,PT. TIDAR SAMUDERA RAYA,Request PPKB,4397.0,100.5,KOTABARU,2025-06-17 15:55,nan,,,,,,,,,,,nan,,,,,,,,,,,
B03129000055,PKK.DN.IDKOE.2511.000167,BUKIT SIGUNTANG,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Realization,14649.0,131.0,TENAU KUPANG,2025-11-22 15:59,PKK.DN.IDKOE.2511.000167,SPB.IDKOE.1125.0000164,BUKIT SIGUNTANG,2025-11-22T15:30:00.000Z,BUKIT SIGUNTANG,14649,131,LAUT,DERMAGA PENUMPANG PELABUHAN TENAU KUPANG,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",IDKOE-PLD-SPK.2511.003512,PKK.DN.IDKOE.2511.000167,B03129000055,JOKO RIAWAN	,22-11-2025 19:06,22-11-2025 19:22,ANOMAN I,,,22-11-2025 19:11,22-11-2025 19:21,ZONA KUPANG,BELUM VERIFIKASI
UQSY57000001,PKK.DN.IDSTU.2202.000582,RALINE 18,PT. BATULICIN NUSANTARA MARITIM Tbk,Request PPKB,3117.0,91.44,KOTABARU,2022-03-31 15:55,nan,,,,,,,,,,,nan,,,,,,,,,,,
FFX957000001,PKK.DN.IDSTU.2408.000203,DEWI IRIANA 1,"DIAN CIPTAMAS AGUNG, PT",Request PPKB,3987.0,100.05,KOTABARU,2024-08-09 01:00,nan,,,,,,,,,,,nan,,,,,,,,,,,
OIOM57000003,PKK.DN.IDSTU.2511.000553,CAPRICORN 163,"BARITO SAMUDRA SEJAHTERA, PT",Realization,4099.0,94.5,KOTABARU,2025-11-25 15:00,PKK.DN.IDSTU.2511.000553,SPB.IDSTU.1125.0000615,CAPRICORN 163,2025-11-23T10:00:00.000Z,CAPRICORN 163,4099,94.5,LAUT,DERMAGA BORNEO INDOBARA,"BARITO SAMUDRA SEJAHTERA, PT",IDSTU-PLD-SPK.2511.015649,PKK.DN.IDSTU.2511.000553,OIOM57000003,TRI SUDIYATMO SAPUTRO,22-11-2025 15:45,22-11-2025 16:25,,,,,,ZONA SATUI & BUNATI,BELUM VERIFIKASI
3WP857000001,PKK.DN.IDSTU.2202.000221,RALINE 17,PT. BATULICIN NUSANTARA MARITIM Tbk,Request PPKB,3117.0,91.44,KOTABARU,2022-02-28 15:55,nan,,,,,,,,,,,nan,,,,,,,,,,,
