active,amount,branch_id,created_at,currency_name,description,end_date,id,id_currency,index,judul_ba,kode_kepil,loa_description,location_name,name_branch,start_date,status,timezones,total,total_page,uper_multiplication,url_file
1,675000,17,2024-01-16 11:52,Rupiah,"Rp. di dermaga, loa => 250",2030-12-31 23:59,1739,1,53,,PNK01,LOA >= 250,BERLIAN UTARA,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,1350000,17,2024-01-16 11:52,Dollar,"US$. di dermaga, loa => 250",2030-12-31 23:59,1762,2,54,,PNK01,LOA >= 250,BERLIAN UTARA,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,1150000,17,2024-01-16 11:52,Dollar,"US$. di dermaga, loa 150 > 250",2030-12-31 23:59,1717,2,55,,PNK01,LOA 150 > 250,BERLIAN UTARA,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,675000,17,2024-01-16 11:52,Rupiah,"Rp. di dermaga, loa => 250",2030-12-31 23:59,1740,1,56,,PNK01,LOA >= 250,JAMRUD UTARA,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,1350000,17,2024-01-16 11:52,Dollar,"US$. di dermaga, loa => 250",2030-12-31 23:59,1763,2,57,,PNK01,LOA >= 250,JAMRUD UTARA,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,1150000,17,2024-01-16 11:52,Dollar,"US$. di dermaga, loa 150 > 250",2030-12-31 23:59,1718,2,58,,PNK01,LOA 150 > 250,JAMRUD UTARA,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,675000,17,2024-01-16 11:52,Rupiah,"Rp. di dermaga, loa => 250",2030-12-31 23:59,1741,1,59,,PNK01,LOA >= 250,JAMRUD SELATAN,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,1350000,17,2024-01-16 11:52,Dollar,"US$. di dermaga, loa => 250",2030-12-31 23:59,1764,2,60,,PNK01,LOA >= 250,JAMRUD SELATAN,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,1150000,17,2024-01-16 11:52,Dollar,"US$. di dermaga, loa 150 > 250",2030-12-31 23:59,1719,2,61,,PNK01,LOA 150 > 250,JAMRUD SELATAN,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,675000,17,2024-01-16 11:52,Rupiah,"Rp. di dermaga, loa => 250",2030-12-31 23:59,1742,1,62,,PNK01,LOA >= 250,JAMRUD BARAT,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,1350000,17,2024-01-16 11:52,Dollar,"US$. di dermaga, loa => 250",2030-12-31 23:59,1765,2,63,,PNK01,LOA >= 250,JAMRUD BARAT,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,1150000,17,2024-01-16 11:52,Dollar,"US$. di dermaga, loa 150 > 250",2030-12-31 23:59,1720,2,64,,PNK01,LOA 150 > 250,JAMRUD BARAT,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,675000,17,2024-01-16 11:52,Rupiah,"Rp. di dermaga, loa => 250",2030-12-31 23:59,1743,1,65,,PNK01,LOA >= 250,KADE PERAK,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,1350000,17,2024-01-16 11:52,Dollar,"US$. di dermaga, loa => 250",2030-12-31 23:59,1766,2,66,,PNK01,LOA >= 250,KADE PERAK,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,1150000,17,2024-01-16 11:52,Dollar,"US$. di dermaga, loa 150 > 250",2030-12-31 23:59,1721,2,67,,PNK01,LOA 150 > 250,KADE PERAK,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
