no_pkk,no_pkk_inaportnet,vessel_name,company_name,name_process_code,gt,loa,name_branch,departure_date
WAS157000004,PKK.DN.IDKBU.2509.000651,LIANA LXIX,PT. ALWIESTA NIAGA MANDIRI,Realization,4362.0,100.58,KOTABARU,2025-09-23T02:00:00.000Z
5RHJ25000008,PKK.DN.IDBDJ.2509.002918,CAKRAWALA XXX 2024,SARANA MARITIM SEJAHTERA PT,Realization,3510.0,91.44,BANJARMASIN,2025-09-22T22:00:00.000Z
S9KN25000024,PKK.DN.IDBDJ.2509.002915,RIMAU 3021,"RIMAU BAHTERA SHIPPING, PT",Realization,3348.0,91.44,BANJARMASIN,2025-09-30T06:25:00.000Z
LPOO74000024,PKK.DN.IDKUM.2509.000126,SENSONIX V,"SEROJA JAYA AGENSI, PT",Request PPKB,3120.0,105.3,KUMAI,2025-09-30T16:00:00.000Z
RY9S57000001,PKK.DN.IDSTU.2409.000467,BAIDURI 30368,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,3138.0,87.84,KOTABARU,2024-09-17T15:55:00.000Z
I2PO25000048,PKK.DN.IDBDJ.2509.002914,RMN 375,"KARTIKA SAMUDRA ADIJAYA, PT",Realization,3115.0,87.78,BANJARMASIN,2025-09-23T15:00:00.000Z
I2EM25000002,PKK.DN.IDBDJ.2509.002913,SMALIND II,"ADYA TRIAMARGA, PT",Realization,986.0,64.01,BANJARMASIN,2025-09-30T15:00:00.000Z
AG4O57000008,PKK.DN.IDSTU.2509.000364,PACIFIC 3027,"PANCARAN SAMUDERA SAKTI, PT",Request PPKB,3272.0,87.78,KOTABARU,2025-09-19T15:00:00.000Z
MMHA25000030,PKK.DN.IDBDJ.2509.002916,CAKRAWALA XIX 2023,SARANA MARITIM SEJAHTERA PT,Realization,4338.0,100.58,BANJARMASIN,2025-09-22T22:00:00.000Z
GSRI83000002,PKK.DN.IDSMQ.2509.000379,GANDASARI 2706,"PRIMA KARYA MARITIM INDONESIA, PT",Request PPKB,2163.0,82.8,SAMPIT,2025-09-30T16:00:00.000Z
DAU583000007,PKK.DN.IDSMQ.2509.000377,DAYA UTAMA 05,"PRIMA KARYA MARITIM INDONESIA, PT",Realization,2204.0,79.25,SAMPIT,2025-09-28T16:00:00.000Z
SKI383000076,PKK.DN.IDSMQ.2509.000376,DHARMA FERRY VI,PT DHARMA LAUTAN UTAMA,Realization,2837.0,76.88,SAMPIT,2025-09-23T20:00:00.000Z
PE5957000001,PKK.DN.IDSTU.2411.000693,PEC 859,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,3890.0,98.26,KOTABARU,2024-11-29T15:55:00.000Z
EO5V25000004,,RMN 353,"KARTIKA SAMUDRA ADIJAYA, PT",Realization,3141.0,87.78,BANJARMASIN,2025-09-22T20:00:00.000Z
BC2227000715,,BOUNTY CRUISES,"GEDE KADEK BROTHERS, PT",Realization,622.0,44.0,BENOA,2025-09-23T10:00:00.000Z
BM5U57000002,PKK.DN.IDSTU.2506.000254,SLM VENUS 1,PT. TIDAR SAMUDERA RAYA,Request PPKB,4397.0,100.5,KOTABARU,2025-06-16T15:55:00.000Z
JB5J57000001,PKK.DN.IDSTU.2401.000138,RMN 341,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,3142.0,87.78,KOTABARU,2024-01-06T15:00:00.000Z
QVLY57000001,PKK.DN.IDSTU.2504.000069,RMN 3330,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,4338.0,100.58,KOTABARU,2025-04-07T15:55:00.000Z
E60023000004,PKK.DN.IDBJU.2509.000148,EDRICKO 6,"BARRU SAMUDERA TIMUR, PT",Request PPKB,1017.0,71.44,TANJUNG WANGI,2025-10-01T22:00:00.000Z
000E23000027,PKK.DN.IDBJU.2509.000147,ELVIRA,"INDOLINE INCOMEKITA, PT",Request PPKB,1036.0,71.91,TANJUNG WANGI,2025-10-20T16:00:00.000Z
T05225000071,PKK.DN.IDBDJ.2509.002906,TAMA 3052,"MULTI LINE BORNEO, PT",Request PPKB,3508.0,91.44,BANJARMASIN,2025-09-24T15:55:00.000Z
OHMW57000001,PKK.DN.IDSTU.2508.000573,RMN 3308,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,4337.0,96.56,KOTABARU,2025-08-26T15:55:00.000Z
GS1625000044,PKK.DN.IDBDJ.2509.002907,GSL 16,"NABILA RIZKI SAMUDERA, PT",Realization,3153.0,91.5,BANJARMASIN,2025-09-24T15:55:00.000Z
8XWE57000003,PKK.DN.IDSTU.2506.000202,BAIDURI 30297,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,3137.0,87.84,KOTABARU,2025-06-11T01:00:00.000Z
I20025000139,PKK.DN.IDBDJ.2509.002899,IHSAN 2,"BARITO GAS UTAMA, PT",Request PPKB,1223.0,71.51,BANJARMASIN,2025-09-25T15:00:00.000Z
GM8825000073,PKK.DN.IDBDJ.2509.002901,GEMILANG 2788,"MULTI LINE BORNEO, PT",Realization,2761.0,82.3,BANJARMASIN,2025-09-26T15:55:00.000Z
UQVL27000006,PKK.DN.IDBOA.2509.002418,PIS ROKAN,"PERTAMINA TRANS KONTINENTAL, PT",Request PPKB,4087.0,99.9,BENOA,2025-09-22T11:00:00.000Z
252M57000016,PKK.DN.IDKBU.2509.000647,MANDRAGUNA,PT. TARUNA CIPTA KENCANA,Request PPKB,4233.0,111.64,KOTABARU,2025-09-24T12:00:00.000Z
